num,payload_ent,tcp_ent,src_ip,src_mac,dst_ip,dst_mac,seq,ack,ip_len,func_code,ref_num,data_cnt,trans_id,mbtcp_len,sport,dport,payload_len,label
23483,146.0,148.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23484,138.0,141.0,42,255,170,0,7,5,2,212,187,102,188,148,15,3,52,3
23485,145.0,147.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23486,140.0,142.0,42,255,170,0,7,5,2,212,187,102,188,148,15,3,52,3
23487,145.0,146.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23488,139.0,142.0,42,255,170,0,7,5,2,212,188,102,188,148,15,3,52,3
23489,143.0,145.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23490,138.0,141.0,42,255,170,0,7,5,2,212,188,102,188,148,15,3,52,3
23491,145.0,147.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23492,140.0,143.0,42,255,170,0,7,5,2,212,188,102,188,148,15,3,52,3
23493,144.0,146.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23494,144.0,146.0,42,255,170,0,7,5,2,212,188,102,188,148,15,3,52,3
23495,146.0,147.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23496,140.0,143.0,42,255,170,0,7,5,2,212,188,102,188,148,15,3,52,3
23497,145.0,146.0,170,0,42,255,5,7,1,212,0,0,188,85,3,15,49,3
23498,140.0,143.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23499,146.0,148.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23500,137.0,140.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23501,138.0,141.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23502,142.0,144.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23503,145.0,147.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23504,143.0,145.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23505,146.0,147.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23506,141.0,142.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23507,145.0,147.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23508,142.0,143.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23509,147.0,149.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23510,141.0,144.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23511,147.0,148.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23512,139.0,142.0,42,255,170,0,7,5,2,212,188,102,189,148,15,3,52,3
23513,142.0,145.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23514,142.0,145.0,42,255,170,0,7,5,2,212,189,102,189,148,15,3,52,3
23515,145.0,147.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23516,138.0,141.0,42,255,170,0,7,5,2,212,189,102,189,148,15,3,52,3
23517,142.0,144.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23518,139.0,142.0,42,255,170,0,7,5,2,212,189,102,189,148,15,3,52,3
23519,136.0,139.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
23520,139.0,142.0,42,255,170,0,7,5,2,212,189,102,189,148,15,3,52,3
23521,138.0,141.0,170,0,42,255,5,7,1,212,0,0,189,85,3,15,49,3
